"","Date","cinqMinutesInt","heureNombre"
"350",20140303,9.667,0.4028472222
"351",20140303,9.667,0.4028819444
"352",20140303,9.667,0.4028935185
"353",20140303,9.667,0.4029050926
"354",20140303,9.667,0.4029166667
"355",20140303,9.667,0.4029398148
"356",20140303,9.667,0.4029513889
"357",20140303,9.667,0.402962963
"358",20140303,9.667,0.4030092593
"359",20140303,9.667,0.4030439815
"360",20140303,9.667,0.4030671296
"361",20140303,9.667,0.4030787037
"362",20140303,9.667,0.4031018519
"363",20140303,9.667,0.403125
"364",20140303,9.667,0.4031944444
"365",20140303,9.667,0.4032175926
"366",20140303,9.667,0.4032407407
"367",20140303,9.667,0.403287037
"368",20140303,9.667,0.4033217593
"369",20140303,9.667,0.4033449074
"370",20140303,9.667,0.4033564815
"371",20140303,9.667,0.4034259259
"372",20140303,9.667,0.4034606481
"373",20140303,9.667,0.4034722222
"374",20140303,9.667,0.4034953704
"375",20140303,9.667,0.4035069444
"376",20140303,9.667,0.4035300926
"377",20140303,9.667,0.4035532407
"378",20140303,9.667,0.4035763889
"379",20140303,9.667,0.4036111111
"380",20140303,9.667,0.4036574074
"381",20140303,9.667,0.40375
"382",20140303,9.667,0.4037615741
"383",20140303,9.667,0.4037847222
"384",20140303,9.667,0.4038773148
"385",20140303,9.667,0.4038888889
"386",20140303,9.667,0.403900463
"387",20140303,9.667,0.4039351852
"388",20140303,9.667,0.4039467593
"389",20140303,9.667,0.4039583333
"390",20140303,9.667,0.4039814815
"391",20140303,9.667,0.4039930556
"392",20140303,9.667,0.4040046296
"393",20140303,9.667,0.4040277778
"394",20140303,9.667,0.4040509259
"395",20140303,9.667,0.4040625
"396",20140303,9.667,0.4040740741
"397",20140303,9.667,0.4041319444
"398",20140303,9.667,0.4041435185
"399",20140303,9.667,0.4041550926
"400",20140303,9.667,0.4041898148
"401",20140303,9.667,0.404212963
"402",20140303,9.667,0.4042708333
"403",20140303,9.667,0.4043055556
"404",20140303,9.667,0.4043171296
"405",20140303,9.667,0.4043287037
"406",20140303,9.667,0.4043402778
"407",20140303,9.667,0.4043634259
"408",20140303,9.667,0.4044097222
"409",20140303,9.667,0.4044212963
"410",20140303,9.667,0.4044328704
"411",20140303,9.667,0.4044560185
"412",20140303,9.667,0.4044675926
"413",20140303,9.667,0.4044907407
"414",20140303,9.667,0.4045138889
"415",20140303,9.667,0.404537037
"416",20140303,9.667,0.4045601852
"417",20140303,9.667,0.4045949074
"418",20140303,9.667,0.4046064815
"419",20140303,9.667,0.4046296296
"420",20140303,9.667,0.4046412037
"421",20140303,9.667,0.4046643519
"422",20140303,9.667,0.4046759259
"423",20140303,9.667,0.4046875
"424",20140303,9.667,0.4047222222
"425",20140303,9.667,0.4047453704
"426",20140303,9.667,0.4048263889
"427",20140303,9.667,0.404837963
"428",20140303,9.667,0.404849537
"429",20140303,9.667,0.4048726852
"430",20140303,9.667,0.4048842593
"431",20140303,9.667,0.4049305556
"432",20140303,9.667,0.4049421296
"433",20140303,9.667,0.4049768519
"434",20140303,9.667,0.4050462963
"435",20140303,9.667,0.4050694444
"436",20140303,9.667,0.4050925926
"437",20140303,9.667,0.4051157407
"438",20140303,9.667,0.4051273148
"439",20140303,9.667,0.4051388889
"440",20140303,9.667,0.405162037
"441",20140303,9.667,0.4051736111
"442",20140303,9.667,0.4052314815
"443",20140303,9.667,0.4052430556
"444",20140303,9.667,0.4052546296
"445",20140303,9.667,0.4052893519
"446",20140303,9.667,0.4053125
"447",20140303,9.667,0.4053587963
"448",20140303,9.667,0.4053703704
"449",20140303,9.667,0.4053935185
"450",20140303,9.667,0.4054282407
"451",20140303,9.667,0.4054398148
"452",20140303,9.667,0.405474537
"453",20140303,9.667,0.4054861111
"454",20140303,9.667,0.4055324074
"455",20140303,9.667,0.4055555556
"456",20140303,9.667,0.4055671296
"457",20140303,9.667,0.405625
"458",20140303,9.667,0.4056365741
"459",20140303,9.667,0.4056481481
"460",20140303,9.667,0.4056597222
"461",20140303,9.667,0.4056712963
"462",20140303,9.667,0.4056944444
"463",20140303,9.667,0.4057060185
"464",20140303,9.667,0.4057175926
"465",20140303,9.667,0.4057407407
"466",20140303,9.667,0.405775463
"467",20140303,9.667,0.4058217593
"468",20140303,9.667,0.4058333333
"469",20140303,9.667,0.4058796296
"470",20140303,9.667,0.4058912037
"471",20140303,9.667,0.4059027778
"472",20140303,9.667,0.4059143519
"473",20140303,9.667,0.4059259259
"474",20140303,9.667,0.4059606481
"475",20140303,9.667,0.4059722222
"476",20140303,9.667,0.4059837963
"477",20140303,9.667,0.4060069444
"478",20140303,9.667,0.4060300926
"479",20140303,9.667,0.4060416667
"480",20140303,9.667,0.4060763889
"481",20140303,9.667,0.4061226852
"482",20140303,9.667,0.4061458333
"483",20140303,9.667,0.4062152778
"484",20140303,9.75,0.40625
"485",20140303,9.75,0.4062847222
"486",20140303,9.75,0.4062962963
"487",20140303,9.75,0.4063194444
"488",20140303,9.75,0.4063310185
"489",20140303,9.75,0.4063541667
"490",20140303,9.75,0.4063888889
"491",20140303,9.75,0.4064236111
"492",20140303,9.75,0.4065856481
"493",20140303,9.75,0.4066435185
"494",20140303,9.75,0.4066782407
"495",20140303,9.75,0.4067013889
"496",20140303,9.75,0.406724537
"497",20140303,9.75,0.4067592593
"498",20140303,9.75,0.4067708333
"499",20140303,9.75,0.4067824074
"500",20140303,9.75,0.4067939815
"501",20140303,9.75,0.4068055556
"502",20140303,9.75,0.4068402778
"503",20140303,9.75,0.4068634259
