Date,heureNombre,heureHHMMSS,taille,prix
20140303,0.3999189815,93553,50,1206.491
20140303,0.3999768519,93558,5,1207
20140303,0.3999884259,93559,6,1206.9999
20140303,0.4,93600,405,1207.0732111111
20140303,0.4000115741,93601,25,1207.409
20140303,0.4000231481,93602,10,1207.01
20140303,0.4000347222,93603,300,1207.7983333333
20140303,0.4000462963,93604,100,1206.74
20140303,0.4000925926,93608,100,1207.65
20140303,0.4001273148,93611,100,1207.7699
20140303,0.4001388889,93612,40,1207.2206625
20140303,0.400162037,93614,412,1207.0961165049
20140303,0.4001736111,93615,125,1207.464
20140303,0.4001967593,93617,5,1207.6245
20140303,0.4002083333,93618,55,1207.6590818182
20140303,0.4002430556,93621,250,1207.371
20140303,0.4002662037,93623,15,1206.2833333333
20140303,0.4003009259,93626,100,1206.812
20140303,0.4003125,93627,101,1206.3787128713
20140303,0.4003240741,93628,255,1206.538627451
20140303,0.4003356481,93629,78,1206.5208333333
20140303,0.4003472222,93630,10,1206.37
20140303,0.4003587963,93631,10,1206.789
20140303,0.4003703704,93632,1,1206.7879
20140303,0.4003819444,93633,20,1206.37
20140303,0.4003935185,93634,100,1206.38
20140303,0.4004166667,93636,101,1206.3724762376
20140303,0.400474537,93641,20,1206.37
20140303,0.4005092593,93644,40,1206.37
20140303,0.4005324074,93646,50,1206.7699
20140303,0.4005555556,93648,1,1206.7699
20140303,0.4005787037,93650,100,1206.09
20140303,0.4006018519,93652,75,1206.63
20140303,0.4006134259,93653,5,1206
20140303,0.400625,93654,2,1206.61
20140303,0.4006365741,93655,1,1206
20140303,0.4006481481,93656,205,1206.0331707317
20140303,0.4006828704,93659,100,1206.219
20140303,0.4006944444,93700,97,1205.92
20140303,0.4007060185,93701,340,1205.9788235294
20140303,0.4007638889,93706,2,1206.305
20140303,0.400775463,93707,399,1205.5722
20140303,0.400787037,93708,8,1206.29
20140303,0.4007986111,93709,300,1205.77
20140303,0.4008680556,93715,60,1206.23
20140303,0.4008796296,93716,7,1205.6395714286
20140303,0.4009606481,93723,200,1205.90125
20140303,0.4009722222,93724,50,1205.385
20140303,0.4010069444,93727,100,1206.04
20140303,0.4010185185,93728,4,1205.39
20140303,0.4010416667,93730,200,1205.41585
20140303,0.4010532407,93731,35,1205.38
20140303,0.4010763889,93733,2,1205.381
20140303,0.401099537,93735,2,1206.05
20140303,0.4011342593,93738,100,1205.705
20140303,0.4011805556,93742,500,1205.3994
20140303,0.4012152778,93745,100,1205.39
20140303,0.4012268519,93746,2,1205.4
20140303,0.40125,93748,5,1205.87
20140303,0.4012962963,93752,30,1205.87
20140303,0.4013078704,93753,5,1205.859
20140303,0.4013194444,93754,20,1205.41
20140303,0.4013773148,93759,43,1205.4101
20140303,0.4013888889,93800,25,1205.58
20140303,0.401400463,93801,35,1205.7399285714
20140303,0.4014351852,93804,124,1205.6954032258
20140303,0.4015046296,93810,41,1205.596597561
20140303,0.4015162037,93811,5,1205.72
20140303,0.4015277778,93812,1,1205.502
20140303,0.4015393519,93813,100,1205.69
20140303,0.4015509259,93814,125,1205.56
20140303,0.4015625,93815,300,1205.54
20140303,0.4015740741,93816,300,1205.56
20140303,0.4015856481,93817,100,1205.53
20140303,0.4016087963,93819,5,1205.101
20140303,0.4016203704,93820,110,1205.3154545455
20140303,0.4016666667,93824,10,1205.101
20140303,0.401712963,93828,100,1205.31
20140303,0.401724537,93829,400,1205.114375
20140303,0.4017361111,93830,8,1205.13
20140303,0.4017476852,93831,1,1205.13
20140303,0.4017708333,93833,10,1205.46
20140303,0.4017824074,93834,312,1205.0751282051
20140303,0.4017939815,93835,8,1205.09
20140303,0.4018171296,93837,3,1205.46
20140303,0.4018287037,93838,25,1205.1
20140303,0.4018518519,93840,40,1205.46
20140303,0.401875,93842,149,1205.2966442953
20140303,0.4018865741,93843,33,1205.44
20140303,0.4019097222,93845,17,1205.21
20140303,0.4019212963,93846,800,1205.3244125
20140303,0.4019328704,93847,10,1205.999
20140303,0.4019791667,93851,230,1205.2100113044
20140303,0.4019907407,93852,25,1205.95392
20140303,0.4020023148,93853,760,1205.9605835526
20140303,0.402025463,93855,10,1205.21
20140303,0.4020486111,93857,5,1205.4
20140303,0.4020717593,93859,8,1205.4
20140303,0.4020833333,93900,64,1205.71375
20140303,0.4020949074,93901,5,1205.4
20140303,0.4021064815,93902,10,1205.301
20140303,0.4021180556,93903,300,1205.9966666667
20140303,0.4021412037,93905,42,1205.09
20140303,0.4021643519,93907,2,1207.12
20140303,0.4021759259,93908,30,1205.31
20140303,0.4021990741,93910,30,1207.12
20140303,0.4022106481,93911,10,1205.8001
20140303,0.4022337963,93913,20,1205.8001
20140303,0.4022569444,93915,170,1206.7282352941
20140303,0.4022800926,93917,9,1207.04
20140303,0.402349537,93923,130,1206.8705384615
20140303,0.4023726852,93925,30,1206.04
20140303,0.4024189815,93929,30,1206.0404
20140303,0.4024421296,93931,100,1207.0156
20140303,0.4025,93936,86,1206.4788372093
20140303,0.4025231481,93938,3,1206.03
20140303,0.4025810185,93943,150,1206.5931366667
20140303,0.4025925926,93944,3,1207.12
20140303,0.4026041667,93945,15,1206.52
20140303,0.4026157407,93946,3,1207.12
20140303,0.4026388889,93948,1117,1207.1159623993
20140303,0.4026736111,93951,6,1207.065
20140303,0.4026851852,93952,158,1207.1182278481
20140303,0.4026967593,93953,300,1207.08
20140303,0.4027430556,93957,203,1207.1383743842
20140303,0.4027546296,93958,50,1206.78
20140303,0.4027662037,93959,10,1207.23
20140303,0.4027777778,94000,10,1207.23
20140303,0.4028125,94003,20,1207.24
20140303,0.4028240741,94004,2,1207.25
20140303,0.4028356481,94005,300,1206.882
20140303,0.4028472222,94006,100,1207.249
20140303,0.4028819444,94009,28,1207.18
20140303,0.4028935185,94010,6,1206.781
20140303,0.4029050926,94011,40,1206.7801
20140303,0.4029166667,94012,175,1206.2114285714
20140303,0.4029398148,94014,428,1206.77
20140303,0.4029513889,94015,50,1206.77
20140303,0.402962963,94016,100,1206.77
20140303,0.4030092593,94020,46,1206.080326087
20140303,0.4030439815,94023,110,1206.051
20140303,0.4030671296,94025,200,1206.1175
20140303,0.4030787037,94026,50,1206.385
20140303,0.4031018519,94028,220,1206.6193040909
20140303,0.403125,94030,274,1206.1852919708
20140303,0.4031944444,94036,100,1206.295
20140303,0.4032175926,94038,100,1206.403
20140303,0.4032407407,94040,100,1206.08
20140303,0.403287037,94044,1,1206.5
20140303,0.4033217593,94047,115,1206.2704304348
20140303,0.4033449074,94049,30,1205.8
20140303,0.4033564815,94050,66,1204.9843939394
20140303,0.4034259259,94056,6,1205.182
20140303,0.4034606481,94059,6,1205.4
20140303,0.4034722222,94100,409,1204.7732885086
20140303,0.4034953704,94102,100,1204.87
20140303,0.4035069444,94103,8,1204.44
20140303,0.4035300926,94105,66,1204.43
20140303,0.4035532407,94107,25,1204.43
20140303,0.4035763889,94109,620,1204.3185451613
20140303,0.4036111111,94112,5,1205.244
20140303,0.4036574074,94116,60,1205.73
20140303,0.40375,94124,110,1205.4527272727
20140303,0.4037615741,94125,20,1204.5101
20140303,0.4037847222,94127,50,1205.155
20140303,0.4038773148,94135,5,1205.04
20140303,0.4038888889,94136,100,1205.525
20140303,0.403900463,94137,25,1205.99
20140303,0.4039351852,94140,100,1205.576
